,,,,
,SCHOOL MADE EASY STEM OPPORTUNITIES,,"This is a general list of STEM opportunities, please check the separate google sheets for this category for more specific opportunities/resources.",
,Program Name,Description,Website,Due date
,,,,
,,,,
,US Agricultural Library Internship,"The National Agricultural Library (NAL) is always looking for bright, talented people to help develop innovative services, programs, and exhibits. Unpaid internships and volunteer opportunities are available across the library. Applicants can step into projects or opportunities NAL hopes to fill, or applicants can customize an internship or volunteer position to fit special interests or career goals upon request and subject to staff availability. High school students ages 16 and up are eligible to apply.",https://www.nal.usda.gov/main/about-us/internships,Rolling
,Journal of Emerging Investigators,"An amazing opportunity where middle and high school students can have their research published with the aid of graduate students. JEI is operational during quarantine, and students can submit works from projects they've done for classes, science fairs, or summer research.",https://www.emerginginvestigators.org/,Rolling
,The Icla Da Silva Foundation,Encouraging people to sign up for the National Marrow Donor Program. You would be using your smartphone or tablet to reach out to people and walk them through the process of signing up as potential donors.,https://icla.org/events/volunteer/,Rolling
,ZLab at Columbia University,"ZLab is one of Columbia's most prominent physics laboratories. Current research projects are divided into three categories: ultracold molecules, molecular laser cooling, and nonlinear optics. Students will be able to gain hands-on research experience with state-of-the-art technology alongside professional physicists.",http://www.columbia.edu/cu/zlab/positions.html,Rolling
,,"Are you ready for hands-on science again? Cold Spring Harbor Laboratory’s DNA Learning Center (DNALC) is excited to announce the opening of DNALC NYC in collaboration with the City University of New York (CUNY). Students entering grades 6–12 in the fall are invited to be among the very first to attend weeklong summer camps at DNALC NYC(Open external link) either in person at New York City College of Technology (City Tech) in Brooklyn or virtually using a materials kit that is sent home. Scholarships are available. Visit the DNALC NYC(Open external link) website, click on the camp you are interested in to learn more, and enroll today.",https://summercamps.dnalc.org/images/Summer-Camp-Flyer-2021-DNALC-NYC.pdf https://summercamps.dnalc.org/dnalc-nyc/ https://summercamps.dnalc.org/register.html,Rolling
,Stanford Earth Young Investigators,"At the School of Earth, Energy & Environmental Sciences, high school students spend the summer working in research laboratories. Students are supervised directly by graduate students, post docs and lab managers. This program enables graduate students to serve as supervisors, prepares high school students for college and helps strengthen the connections between Stanford and local high schools. Since 2004, over 250 high school students have worked in our research labs and learned about the process of science first hand. We offer several different options, with different areas of focus and time commitments. Regularly we have talks, lab tours, and field trips as a group that have been turned into our remote education program during the pandemic. This is a time that interns get to learn about the broad field of Earth and environmental sciences. Young Investigators is not a camp and organized social activities are limited.",https://earth.stanford.edu/academics/young-investigators#gs.krlarg,March 15
