Title,Description,Deadline,Link,Category,Cost,Location,Major/Subject,Eligibility
Summer Science Research Program (Rockefeller),7-week mentored lab research for HS juniors/seniors,"Jan 3, 2025",https://www.rockefeller.edu/outreach/ssrp/,Research Internship,Free,New York,Various STEM,HS Juniors/Seniors
FSU Young Scholars Program,6-week residential math/science research for FL students,Varies,https://ysp.osta.fsu.edu/,Summer Program,Free,"Tallahassee, FL",STEM,HS Juniors (FL)
Shoals Marine Laboratory,Summer fieldwork & marine science courses,Varies,https://en.wikipedia.org/wiki/Shoals_Marine_Laboratory,Summer Course,Paid?,Maine/NH Coast,Marine Science,HS Students
Worldwide Youth in Science (WYSE),6-week non-residential STEM research,Varies,https://en.wikipedia.org/wiki/Worldwide_Youth_in_Science_and_Engineering,Research/Summer,Free,IL,Engineering/STEM,HS Students
Summer Science Program (SSP),39-day intensive research in astrophysics/biochem,Varies,http://www.summerscience.org/,Summer Program,Fee+Aid,Multiple campuses,STEM,HS Juniors/Seniors
Research Science Institute (RSI),6-week free STEM research at MIT,Varies,https://www.cee.org/programs/research-science-institute,Research Summer,Free,MIT,STEM,HS Rising Seniors
QCaMP Quantum Camp,4-week quantum computing camp,Jul 1–26 2024,https://arxiv.org/abs/2504.15977,Camp,Free,US,Quantum/Physics,HS Students
Pulsar Search Collaboratory,Radio astronomy research via Green Bank Telescope,Varies,https://arxiv.org/abs/1005.1060,Outreach/Research,Free,National,Astronomy,HS Teams
Stanford FAST Internships,Stanford HS research in medicine/chem/CS,June 10–Aug 1,https://fast.stanford.edu/resources/internships/,Internship,Free,"Stanford, CA",Biomedical/CS,HS Juniors/Seniors
Northwestern HPREP/Kim Querrey,6-week paid summer med research program,Varies,https://www.feinberg.northwestern.edu/sites/stem-programs/hs.html,Research Internship,Free,"Chicago, IL",Healthcare/STEM,HS Students
UT Dallas HS Research Internship,8-week STEM labs & workshops,Jun 9–Aug 1 2025,https://k12.utdallas.edu/research/,Research Internship,Free,TX,STEM,HS Students
Feinstein Summer Internships,Lab-based biomedical research,July 1 2025,https://feinstein.northwell.edu/education/summer-student-intern-program,Research Internship,Free,NY,Biomedical,HS Students
Cedars-Sinai INSPIRE,6–10 week medical research internship,Summer 2025,https://cedars-sinai.edu/education/professional-training-programs/internship/inspire.html,Research Internship,Free,LA,Medical,HS ≥16
MSKCC Summer Student Program,8-week cancer research with stipend,Jun 30–Aug 22 2025,https://sloankettering.edu/education-training/summer-student,Research Internship,Free+$1200,NJ,Medical/STEM,HS Students
Aspirnaut Summer Research,Residential life sciences lab internship,Applications Fall 2025,https://aspirnaut.lsi.umich.edu/,Research Internship,Free?,MI,Biology/Outreach,HS Students
Brown Cancer Center HSSRP,8-week wet-lab cancer research internship,June 9 2025,https://louisville.edu/medicine/cancer-research/education-and-training/sumint/sumintprogram,Research Internship,Free,KY,Cancer Biology,HS soph–sen
George Mason ASSIP Internship,8-week STEM research + poster session,June 18–Aug 8 2025,https://science.gmu.edu/assip,Research Internship,Free,VA,STEM,HS Students
NSHSS Scholarships,"Academic, leadership & STEM scholarships",Varies,https://www.nshss.org/scholarships/,Scholarship,Free,National,Multiple,HS Students
Scholarship America HS,Variety of national scholarships,Varies,https://scholarshipamerica.org/students/scholarships-for-high-school-students/,Scholarship,Free,National,Multiple,HS Students
Jack Kent Cooke Young Scholars,Scholarship & support from 8th grade,Feb 5–Apr 29 2026,https://www.jkcf.org/our-scholarships/,Scholarship,Free,National,Various,Middle/High
Gates Scholarship,Last-dollar full ride for low-income seniors,Jul 15 2025,https://www.thegatesscholarship.org/scholarship,Scholarship,Free,National,Any,HS Seniors
Amazon Future Engineer Scholarship,"$40,000 + internship for CS-interested seniors",Nov–Dec,https://www.amazonfutureengineer.com/scholarships,Scholarship,Free,National,Computer Science,HS Seniors
C-SPAN StudentCam Contest,Documentary video competition on public policy,Jan 2026,https://www.studentcam.org/,Competition,Free,National,Civics/Media,Grades 6–12
Congressional Art Competition,District-level visual art contest for students,Spring,https://www.house.gov/educators-and-students/congressional-art-competition,Competition,Free,National,Art,HS Students
Davidson Fellows Scholarship,$10K–$50K for significant original work,Feb 2026,https://www.davidsongifted.org/gifted-programs/fellows-scholarship/,Scholarship,Free,National,STEM/Humanities,18 and under
AFS Global STEM Academies,Fully funded study abroad + STEM innovation,Mar 2026,https://afs.org/global-stem/,Study Abroad,Free,Global,STEM/Leadership,HS Ages 15–17.5
National Youth Science Camp,All-expenses-paid STEM camp in West Virginia,Feb 28 2026,https://www.nyscamp.org/,Camp,Free,WV,STEM,HS Seniors
Hutton Junior Fisheries Biology Program,8-week paid fisheries science internship,Feb 15 2026,https://hutton.fisheries.org/,Internship,Free,National,Environmental Science,HS Soph–Seniors
World Food Prize Youth Institute,Essay contest + global ag leadership summit,Spring 2026,https://www.worldfoodprize.org/en/youth/youth_programs/,Competition,Free,National,Food Policy/AgriSci,HS Students
Bank of America Student Leaders,Paid summer nonprofit internship + D.C. summit,Jan 2026,https://about.bankofamerica.com/en/making-an-impact/student-leaders,Internship,Free,National,Leadership/Policy,HS Juniors/Seniors
