,,,,
,SCHOOL MADE EASY MED OPPORTUNITIES,,"This is a general list of MED opportunities, please check the separate google sheets for this category for more specific opportunities/resources.",
,Program Name,Description,Website,Due date
,,,,
,,,,
,The UAB Department of Surgery Pre-College Research Internship ,"The program aims to provide underrepresented high school students with an understanding and appreciation of the research process and how discoveries lead to improved patient care and patient outcomes. UAB surgeons, faculty and senior research staff mentor program participants. While research is the focus for the majority of the internship, students will also participate in clinical experiences. Students are required to present their research before the end of the program.",https://www.uab.edu/medicine/surgery/PRISM,February 12th 2022
,Stanford Institutes of Medicine Summer Research Program ,"The Stanford Institutes of Medicine Summer Research Program (SIMR) is an eight-week program in which high school students from diverse backgrounds are invited to perform basic research with Stanford faculty, postdoctoral fellows, students and researchers on a medically-oriented project. The goals of the program include increasing interest in biological sciences and medicine in high school students, helping students to understand how scientific research is performed, and increasing diversity of students and researchers in the sciences.",https://simr.stanford.edu/,February 26th 2022
,The Scripps Research Translational Institute Student Research Program,"The Scripps Research Translational Institute promotes cutting-edge translational research, focused on personalized health care through the genomic, proteomic and metabolomic correlates of health and disease. We additionally seek to advance personalized medicine through research incorporating mobile health (mHealth) monitoring of individuals’ symptoms and physiology. The Summer Research Internship (SURI) program provides the opportunity for highly motivated high school, undergraduate and professional students to work with and learn from a multidisciplinary team of scientists, including internationally renowned investigators in the areas of genomics, computational biology and mHealth research. The primary aim of our internship program is to train and prepare young scientists to become future leaders in the realm of translational science.",https://www.scripps.edu/science-and-medicine/translational-institute/education-and-training/student-research-internship/,March 25th 2022
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Introductory College Level Experience in Microbiology (iCLEM) Science Research Program,"The Introductory College Level Experience in Microbiology (iCLEM) is a paid summer science intensive for economically disadvantaged high school sophomores and juniors. The program seeks to broaden students’ understanding of biotechnology, microbiology, and biofuels. In addition to completing a research project, the program also exposes students to career exploration and preparation for the college application process.",https://www.jbei.org/education/research-experiences/iclem-program/,Application opens Feb 2022
,STaRS science internship at Stanford,"This summer internship was founded on the principle that education is the single, most powerful tool to improving human health. Many of us who provide mentorship in the STaRS internship program have achieved our own leadership positions because of mentoring. Through this program we have an opportunity to show our gratitude to our former mentors, by doing the same for new students. Our goal, in the end, is to help exceptional young people find the reward, excitement, and immense satisfaction that a career in medicine and biomedical research provides.",https://plasticsurgery.stanford.edu/research/stars.html,TBA
